Date,Title,Summary
04/08/2024,"Adani Green's Khavda power plant world's largest, 5 times the size of Paris","Adani Green Energy Ltd, India's largest renewable energy company, will invest about Rs 1.5 lakh crore to generate 30 megawatts of clean electricity at Khavda..."
04/08/2024,India’s Adani Green Energy unveils $27.6bn expansion plan,"Adani Green Energy, part of the Indian conglomerate Adani Group, has announced a significant investment plan totalling Rs2.3tn ($27.6bn)"
04/08/2024,"Adani Group shareholding: Where FIIs, DIIs and public investors added or cut their stakes?","All the listed Adani Group companies (ex-acquisitions) including Adani Enterprises, Adani Ports, Adani Green, Adani Power, Adani Wilmar, Adani Total Gas and..."
04/08/2024,"Tata Power, Adani Power and JSW among 15 thermal plants to get Power Ministry nod to use imported coal till October 15","Tata Power, Adani Power and JSW among 15 thermal plants to get Power Ministry nod to use imported coal till October 15 · The latest move is aligned to avoid the..."
04/08/2024,Coal imports surge: Adani bullish about coal in India,"Although the Indian government has forecast zero imports of coal by 2026, Adani is bullish about the future of its coal businesses."
04/08/2024,Adani Electricity showcases green energy with rooftop solar and battery storage,Adani Electricity on Wednesday announced installation of a 100-kW rooftop solar plant coupled with a Battery Energy Storage System (BESS) at its Borivali...
04/08/2024,"How a remote airstrip, a km away from Pakistan border, will help Adani to build world's largest renewable","In a remarkable feat of innovation, a remote airstrip near the Pakistan border is being transformed into the launchpad for one of the world's largest..."
04/08/2024,"Adani Reaches India’s First 10,000 MW Renewable Energy Capacity",The Khavda project is strategically located to harness abundant wind and solar resources. It is expected to generate an annual green footprint of approximately...
04/08/2024,Adani Group builds world's largest renewable energy park in Gujarat: All you need to know about it,"A mere 18-kilometer drive from the airstrip leads to the Khavda renewable energy park, spanning 538 square kilometres, approximately five times the size of..."
04/15/2024,"Adani Power Share Price Highlights: Stock lost 0.53% during today's trading session; Check price range, day's high and low","Adani Power Ltd Stock Price Live: Adani Power Ltd shares traded at ₹588.50, down 1.90% and commanded a market capitalisation of ₹2.26 Lakh Crore."
04/15/2024,"GQG raises stake in Adani Group companies, buys additional ₹8,300 crore shares in March quarter",GQG Partners' stakes in the six Adani Group firms were valued at around ₹54300 crore as of the March 2024 quarter.
04/15/2024,"Adani Group releases Rs 26,500 crore pledged shares in FY24","In FY24, Adani Power saw the largest release of promoter pledge shares, followed by Adani Ports & SEZ and Adani Green Energy. In March 2023, Adani Power had..."
04/15/2024,"All Adani stocks in green, m-cap crosses ₹16 lakh cr; here’s why ’",Rajiv Jain's GQG Partners has raised its stakes in six Adani group companies by around ₹8300 crore in the March quarter.
04/15/2024,"Tata Power, Adani Power and JSW among 15 thermal plants to get Power Ministry nod to use imported coal till October 15","Tata Power, Adani Power and JSW among 15 thermal plants to get Power Ministry nod to use imported coal till October 15 · The latest move is aligned to avoid the..."
04/15/2024,Adani awarded colossal Indian coal deposit despite low bid,Adani's acquisition of a vast coal deposit in Singrauli and its forthcoming expansions of the Mahan coal-power plant will make life hard for people living...
04/15/2024,Power consumption rises nearly 10% to 70.66 bn units in first half of April,"India's power consumption grew nearly 10 per cent year-on-year to 70.66 billion units (BU) in the first half of April this year, showing improvement in..."
04/15/2024,"FIIs increase stake in 6 Adani stocks, LIC makes smart profit in March quarter","FIIs increase stake in 6 Adani stocks, LIC sees smart profit. Adani Ports, Green Energy, Wilmar, Power, Total Gas, NDTV ownership rises."
04/15/2024,FPIs hike stake in Adani Group companies as SC clears air on allegations,"Foreign portfolio investors and mutual funds have hiked holding in Adani group companies, even as the long-term investor LIC booked profit in two Group..."
04/15/2024,Adani Building World’s Largest Hybrid Solar & Wind Park In India — 30 GW!,Adani Green Energy is building the largest hybrid solar and wind energy installation in the world in a salt desert in India.
04/22/2024,Coup for Adani with switch of high-tariff power contract from Pench to Mahan,The Adani Group pulled off a major coup at the expense of the Indian state of Madhya Pradesh by transferring a power contract from their languishing Pench coal...
04/22/2024,"Adani Power, ACC, Adani Green, Ambuja Cements, other Adani firms to share Q4 results on these dates","Adani Green Energy will be declaring its results on Friday, May 3. The company's operational capacity increased 35 per cent YoY to 10934 MW in Q4."
04/22/2024,Promoters trim nearly $7 billion in share pledges riding buoyant equity markets | Company Business News,"Mint's analysis reveals a net decline in promoter pledges across sectors including energy, infrastructure, IT, pharmaceutical, and retail."
04/22/2024,Adani Group stocks hold strong even as FPIs talk of settlement with Sebi,"According to news reports, SEBI has taken action against two groups of foreign portfolio investors. The first allegedly shorted stocks in Gautam Adani-led..."
04/22/2024,"Adani Electricity, Tata eye bigger pie in Mumbai power distribution","Two of the city's private power distribution companies, Adani Electricity and Tata Power, are eyeing a bigger business pie, particularly betting on high-value..."
04/22/2024,"Q4 results today: Adani Energy, Indian Oil, REC, Exide Industries, others to post earnings on April 30; check list","In the week ahead, top companies such as Adani Enterprises, Kotak Mahindra Bank, Coal India and Dabur are set to post their Q4 results."
04/22/2024,Q4 results this week: Adani group to lead as 211 companies will declare earnings,"With 211 companies announcing quarterly results this week, investors are particularly watching out for major names like Kotak Mahindra Bank, DMart,..."
04/22/2024,"Adani Shares: Hindenburg Who? 5 Out Of 7 Stocks Rise 5-25% YTD; Ports-To-Energy, 5 Adani Stocks To Buy","All seven Adani Shares rallied between 1-2% on Monday, April 29, as these port-to-energy companies are going to begin announcing their Q4 results from this..."
04/22/2024,Electricity Price Hike in Mumbai: Adani Power Users to Face Up to Rs 1.70 Per Unit Hike From May 2024,Electricity Price Hike in Mumbai: Adani Power Users to Face Up to Rs 1.70 Per Unit Hike From May 2024 - More than 31.5 lakh users of Adani Electricity in...
04/22/2024,Adani Energy seeks licence for Halvad Transmission,"AESL would be investing around Rs.3,000 crore to build, own, operate and maintain the 301 km (656 ckm) transmission project for a period of 35 years. The..."
04/29/2024,"Adani Power records 47% YoY growth in Q4 PAT; net debt at Rs 26,545 crore",Adani Power has reported 47.8% fall in net profit to Rs 2737 crore in Q4 FY24 from Rs 5242 crore in Q4 FY23.
04/29/2024,Adani Power's fourth-quarter profit jumps on strong demand,"Indian thermal power producer Adani Power's fourth-quarter profit jumped on Wednesday, helped by an increase in its electricity generating capacity and..."
04/29/2024,Adani Power targets long-term growth with expansion strategy,Adani Power said it plans to boost its generation capacity to over 24 gigawatts by capitalizing on growth and inorganic opportunities.
04/29/2024,"Adani Power Q4 results: Net profit falls 48% YoY to Rs 2,737 crore on the back of increased expenses","Adani Power currently has no rating ... Adani Power posted a 48 per cent decline in its consolidated net profit to Rs 2,737 crore for the March quarter on the..."
04/29/2024,"Q4 results today: Adani Power, Ambuja Cements, Adani Wilmar, among 18 companies to report Q4 earnings on May 1","Q4 results today: Adani Power, Ambuja Cements, Adani Wilmar, Bondada Engineering, Netweb Technologies India, SIS, Orient Cement, Greenpanel Industries,..."
04/29/2024,Questions over Adani's bid for Chennai-based power company Coastal Energen,"The Rs 3500 crore resolution plan has been approved by lenders of Coastal Energen, and is due for approval by the NCLT."
04/29/2024,"Adani Power’s Q4 FY24 stellar results revealed, exceeding expectations","Adani Power's strengthened position is seen in improved Profit before Tax, upgraded ratings.. Adani Power's Q4 FY24 stellar results revealed,..."
04/29/2024,These Adani group companies have received show-cause notices from Sebi; here’s why,India Business News: Six companies belonging to the Adani Group in Mumbai have been issued show-cause notices by Sebi for suspected breaches related to...
04/29/2024,Power Pact: RIL acquires stake in Adani’s Mahan TPP,Reliance Industries Limited recently acquired a 26 per cent stake in Adani Power Limited's Mahan thermal power project in Madhya Pradesh.
04/29/2024,"Adani Power grows 29 pc YoY in Q4 FY24 to Rs 13,787 cr, revenue grows 37 pc to Rs 50,960 cr","The company's continuing total revenue for Q4 FY24 grew by 29 per cent to Rs 13,787 Crore compared to Rs 10,664 Crore in Q4 FY23. This growth was primarily..."
05/06/2024,Colossal three-fold expansion of coal power at Kawai proposed by Adani,"Colossal three-fold expansion of coal power at Kawai proposed by Adani ... Adani Power has applied to expand its coal-power plant at Kawai, in the western Indian..."
05/06/2024,Adani Green signs a 20-yr agreement with Sri Lanka government for wind power stations,"The Sri Lankan government has greenlit a partnership with Adani Green Energy, led by Indian billionaire Gautam Adani, to construct wind power stations in..."
05/06/2024,"Adani Enterprises, Adani Energy Solutions: What's behind mixed set of Q4 results?","Despite a strong revenue growth, Adani Energy Solutions' EBIT grew 0.1 per cent YoY to Rs 1,154 crore in Q4FY24, due to a 34.1 per cent YoY decline in power..."
05/06/2024,Power Pact: RIL acquires stake in Adani’s Mahan TPP,Reliance Industries Limited recently acquired a 26 per cent stake in Adani Power Limited's Mahan thermal power project in Madhya Pradesh.
05/06/2024,Sri Lanka agrees to purchase power from Adani Green,Sri Lanka agrees to purchase wind power at 8.26 cents per kWh from Adani Green Energy for 484 MW.
05/06/2024,"Adani Power given backdoor entry to bidding process, claims former promoter of Coastal Energen","Adani Power given backdoor entry to bidding process, claims former promoter of Coastal Energen ... Former promoters of Chennai power company Coastal Energen..."
05/06/2024,Sri Lanka inks 20-year power purchase deal with India's Adani Green,"Sri Lanka has entered into a 20-year power purchase agreement with India's Adani Green Energy Ltd for two wind power stations developed by the company,..."
05/06/2024,India’s Adani Green Energy signs PPA with Sri Lanka for two wind projects,Adani Green Energy has secured a 20-year power purchase agreement (PPA) with Sri Lanka for the development of two wind projects.
05/06/2024,"Gautam Adani, Rajesh Adani Revoke Shares Worth Rs 8,638 Crore Of Adani Power","Gautam Adani and Rajesh Adani, on behalf of SB Adani Family Trust, have revoked its pledged shares of Adani Power Ltd. The promoters of the company have..."
05/06/2024,Sri Lanka inks MoU with Adani Green for 20-year power purchase deal,The Sri Lankan cabinet has also given its nod to a power purchase agreement for 20 years. ... The Sri Lankan government on May 7 approved an agreement with Gautam...
05/13/2024,Colossal three-fold expansion of coal power at Kawai proposed by Adani,"Colossal three-fold expansion of coal power at Kawai proposed by Adani ... Adani Power has applied to expand its coal-power plant at Kawai, in the western Indian..."
05/13/2024,Multibagger stock: Adani Power share price touches lifetime high. Experts see 25% more upside,"As Adani Power's share price today is around ₹640, market experts are expecting a 25 percent upside in this multibagger Adani group stock."
05/13/2024,Adani Power shares hit new highs; is stock heading towards Rs 800-mark?,"Adani Power has touched its important resistance zone of Rs 642-647 on its daily time frame charts, said Riyank Arora Technical Analyst at Mehta Equities. ""..."
05/13/2024,Adani Power's Record Surge: Can The Rally Sustain Its Momentum?,"Adani Power, a flagship offering from the Adani group, reached a new milestone on May 16 as its shares soared to a record high of Rs 652."
05/13/2024,"Adani Power shares hit all-time highs, stock touches ₹652","In early 2023, shares of Adani Power had hit a low of ₹132.40 on an intra-day basis following a sell-off triggered by Hindenburg's report."
05/13/2024,Adani wind energy project challenged in Sri Lanka’s Supreme Court,"Adani Green Energy's wind energy project, coming up in Sri Lanka's northern Mannar and Pooneryn districts, has been challenged in the island's apex court on..."
05/13/2024,"Technical Breakout Stocks: How to trade Thermax, Siemens and Adani Power on Thursday","We have collated a list of three stocks that either hit a fresh 52-week high, or an all-time high or saw a volume or a price breakout."
05/13/2024,Seven listed Adani Group companies received SEBI notices in FY24,"The Adani Group's flagship company, Adani Enterprises, Adani Green Energy, Adani Power, Adani Energy Solutions, Adani Total Gas and Adani Wilmar received..."
05/13/2024,India’s Adani Energy Solutions acquires Essar Transco for $227.5m,"Adani Energy Solutions (AESL), part of Indian billionaire Gautam Adani's conglomerate, has acquired 100% stake in Essar Transco Limited."
05/13/2024,Adani Power shares ascend to record high; is there more steam to the rally?,"Adani Power shares hit a record high on May 15. ... Shares of the Adani group's multibagger offering, Adani Power, scaled a fresh record high of Rs 652 on May 16,..."
05/20/2024,Why Adani Power Share Price is Rising,"#2 Strong Financial Performance. Adani Power reported a net profit of Rs 208.3 billion (bn) for FY24, a 94% increase compared to Rs 107.3 bn in FY23. This..."
05/20/2024,"Adani Group stocks rally; Enterprises surges 8%, Ports, Power hit new high","On the bourses, Adani Enterprises, the flagship company of the Group, surged 8 per cent to Rs 3,378.15, hitting a 52-week high in the intraday trade. The stock..."
05/20/2024,"Adani Enterprises, Adani Energy Solutions boards to approve $3.5-4 billion fundraise","On May 24, Moneycontrol reported that six Adani Group stocks, including Adani Enterprises Ltd, Adani Green Energy Ltd and Adani Ports & SEZ, have erased the..."
05/20/2024,Adani Enterprises erases all stock losses sparked by Hindenburg report,"India Business News: Shares of Adani Enterprises Ltd, the flagship of the Adani group, have erased all the losses inflicted by a scathing short-seller..."
05/20/2024,Adani Enterprises stock price: Breaches pre-Hindenburg levels,"Adani Enterprises share price: Rebounds, surpassing pre-hindenburg levels, with potential inclusion in BSE Sensex and strong investor support."
05/20/2024,"Adani stocks shrug off coal supply report, all 10 listed shares settle higher","Adani Enterprises Ltd, the group's flagship entity, is expected to replace Wipro in the benchmark Sensex as a part of the semi-annual rebalancing exercise..."
05/20/2024,Massive Coal Scam Exposes Modi Govt-Adani Nexus,The country is shocked today by the huge expose of the coal import fraud staged by the Adani group under the direct patronage of the Modi government.
05/20/2024,OCCRP report alleges huge scam in the supply of coal by Adani,OCCRP exposes Adani group for selling low-quality coal at triple the cost to Tamil Nadu power utility.
05/20/2024,Adani stocks jump on Sensex inclusion hopes,This would make Adani Enterprises the first group company to enter the 30-stock index.
05/20/2024,"Adani group news: Group overcharged for coal, new evidence bolsters allegations","Business news, Gautam Adani news, Adani group news: The DRI had opened a probe almost a decade back to deliberate whether Adani Group and other companies..."
05/27/2024,Why Adani Power Share Price is Rising,"#2 Strong Financial Performance. Adani Power reported a net profit of Rs 208.3 billion (bn) for FY24, a 94% increase compared to Rs 107.3 bn in FY23. This..."
05/27/2024,Adani Power shares zoom 18% to hit record high; is it time to book profit or more steam left?,Adani Power currently has no rating ... Shares of Adani Power Ltd saw a sharp uptick in Monday's trade to scale their record high levels. The stock soared 17.68...
05/27/2024,"Adani group shares in demand; Power, Total Gas, Green Energy rally up 16%","Shares of Adani group companies were in demand on Monday, zooming up to 16 per cent on the BSE in the intraday trade amid heavy volumes."
05/27/2024,"Adani Power Plans Ambitious 9,020 MW Capacity Expansion","Adani Power Ltd., the largest private sector thermal power producer in India, plans to expand its capacity by 9020 megawatts. The company recorded a 96%..."
05/27/2024,Adani Group shares rally sharply; Adani Power zooms nearly 18%,Adani Group companies posted a record 45% rise in pre-tax profit to Rs 82917 crore about Rs 83051 crore ($10 billion) in FY24 as the apples-to-airport...
05/27/2024,Adani Group’s FY24 net jumps 55%; mulls $90-billion capex,Adani group saw a 55% profit surge in the fiscal year ended March 2024 as the apples-to-airport conglomerate is back on an expansion spree and eyeing a $90...
05/27/2024,"10 Adani Group stocks soar up to 10%, Adani Power hits new all-time high; check others","Adani Group stocks surged in trading session driven by positive developments, with Adani Power and Adani Total Gas leading gains."
05/27/2024,India's Adani Group rallies on infrastructure bets as Modi seen retaining power,Shares of three Adani Group companies hit record highs Monday amid a broad-based rally in the infrastructure-focussed Indian conglomerate after exit polls...
05/27/2024,"Adani Group stocks surge up to 6%, add nearly ₹60,000 crore in market cap","Three group companies - Adani Enterprises, Adani Ports and Adani Green Energy currently have a market capitalisation in excess of ₹3 lakh crore."
05/27/2024,Adani Power arm approves merger of Stratatech Mineral Resources into self,Adani Power Ltd (APL) on Monday said its arm Mahan Energen Ltd has approved a proposal to merge coal mining firm Stratatech Mineral Resources with itself...
